"Id;""Name"";""Description"";""ServerName"";""TopicName"";""Address"";""Coef"";""Offset"";""LogEnabled"";""AlEnabled"";""Type"";""AlBool"";""MemTag"";""MbsTcpEnabled"";""MbsTcpFloat"";""SnmpEnabled"";""RTLogEnabled"";""AlAutoAck"";""ForceRO"";""SnmpOID"";""AutoType"";""AlHint"";""AlHigh"";""AlLow"";""AlTimeDB"";""AlLevelDB"";""IVGroupA"";""IVGroupB"";""IVGroupC"";""IVGroupD"";""PageId"";""RTLogWindow"";""RTLogTimer"";""LogDB"";""LogTimer"";""AlLoLo"";""AlHiHi"";""MbsTcpRegister"";""MbsTcpCoef"";""MbsTcpOffset"";""EEN"";""ETO"";""ECC"";""ESU"";""EAT"";""ESH"";""SEN"";""STO"";""SSU"";""TEN"";""TSU"";""FEN"";""FFN"";""FCO"";""AlStat"";""ChangeTime"";""TagValue"";""TagQuality"";""AlType""",,,,
"21;""BMS_Rack_7_Fault_15"";""Module Over Voltage_Fault"";""MODBUS"";""A"";""43358#3"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Under Voltage_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"22;""BMS_Rack_7_Fault_16"";""Module Voltage Imbalance Fault"";""MODBUS"";""A"";""43358#4"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Over Voltage_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"23;""BMS_Rack_7_Fault_17"";""Module Temperature Imbalance Fault"";""MODBUS"";""A"";""43358#5"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Voltage Imbalance Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"24;""BMS_Rack_7_Fault_18"";""Rack Module Comms Fail Fault"";""MODBUS"";""A"";""43358#6"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Temperature Imbalance Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"25;""BMS_Rack_7_Fault_19"";""Rack System Comms Fail Fault"";""MODBUS"";""A"";""43358#7"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Module Comms Fail Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"26;""BMS_Rack_7_Fault_20"";""Rack Charge Over Current Fault"";""MODBUS"";""A"";""43358#8"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack System Comms Fail Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"27;""BMS_Rack_7_Fault_21"";""Rack Discharge Over Current Fault"";""MODBUS"";""A"";""43358#9"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Charge Over Current Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"28;""BMS_Rack_7_Fault_22"";""Rack Under Voltage Fault"";""MODBUS"";""A"";""43358#10"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Discharge Over Current Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"29;""BMS_Rack_7_Fault_23"";""Rack Over Voltage Fault"";""MODBUS"";""A"";""43358#11"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Under Voltage Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"30;""BMS_Rack_7_Fault_24"";""Rack Voltage Sensing Difference"";""MODBUS"";""A"";""43358#12"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Over Voltage Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"31;""BMS_Rack_7_Fault_25"";""Rack Current Sensing Difference"";""MODBUS"";""A"";""43358#13"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Voltage Sensing Difference Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"32;""BMS_Rack_7_Fault_26"";""Rack String Voltage-Imbalance"";""MODBUS"";""A"";""43358#14"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Current Sensing Difference Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"33;""BMS_Rack_7_Fault_27"";""Rack String Current-Imbalance"";""MODBUS"";""A"";""43358#15"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack String Voltage-Imbalance Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"34;""BMS_Rack_7_Alarm_1"";""BMS Additional_Protection"";""MODBUS"";""A"";""43359#0"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack String Current-Imbalance Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
